Temperature, Relative Humidity, Radiation, Site, Nitrogen, Potasium, Calcium, Suitability
10.0, 7.5, 0.5,  A, 78.068, 31.789, 73.970, Z
10.0, 7.5, 0.5,  C, 84.838, 42.036, 70.772, Z
10.0, 7.5, 0.8,  A, 77.169, 23.301, 83.960, Z
10.0, 7.5, 0.8,  C, 82.579, 30.899, 98.103, Z
15.0, 7.5, 0.5,  A, 85.206, 37.664, 88.037, Z
15.0, 7.5, 0.5,  C, 91.639, 47.072, 73.573, Z
15.0, 7.5, 0.8,  A, 85.415, 27.625, 93.605, Z
15.0, 7.5, 0.8,  C, 90.567, 35.237, 95.484, Z
20.0, 7.5, 0.5,  A, 96.459, 44.870, 104.657, Z
20.0, 7.5, 0.5,  C, 101.468, 52.780, 75.402, Z
20.0, 7.5, 0.8,  A, 99.323, 33.188, 106.653, Z
20.0, 7.5, 0.8,  C, 103.077, 40.389, 91.561, Z
25.0, 7.5, 0.5,  A, 114.311, 53.380, 122.787, Z
25.0, 7.5, 0.5,  C, 116.172, 59.253, 76.189, Z
25.0, 7.5, 0.8,  A, 122.428, 40.135, 124.503, Z
25.0, 7.5, 0.8,  C, 122.943, 46.515, 87.725, Z
30.0, 7.5, 0.5,  A, 142.017, 62.913, 140.951, Z
30.0, 7.5, 0.5,  C, 138.518, 66.517, 76.101, Z
30.0, 7.5, 0.8,  A, 158.143, 48.469, 147.288, G
30.0, 7.5, 0.8,  C, 153.638, 53.781, 85.521, G
35.0, 7.5, 0.5,  A, 182.034, 72.904, 157.833, Z
35.0, 7.5, 0.5,  C, 171.709, 74.447, 75.714, Z
35.0, 7.5, 0.8,  A, 205.719, 57.997, 172.484, G
35.0, 7.5, 0.8,  C, 196.747, 62.261, 85.904, G
40.0, 7.5, 0.5,  A, 232.129, 82.625, 172.841, Z
40.0, 7.5, 0.5,  C, 216.777, 82.713, 76.135, Z
40.0, 7.5, 0.8,  A, 256.890, 68.294, 195.733, G
40.0, 7.5, 0.8,  C, 247.441, 71.768, 88.889, G
45.0, 7.5, 0.5,  A, 282.700, 91.409, 186.072, Z
45.0, 7.5, 0.5,  C, 267.952, 90.807, 78.877, Z
45.0, 7.5, 0.8,  A, 300.694, 78.719, 213.751, G
45.0, 7.5, 0.8,  C, 294.589, 81.726, 93.967, G
